_id,time,time_Code,gps_On,gps_Latitude,gps_Longitude,gps_Speed,gps_Accuracy,gps_Altitude,gps_Bearing,gps_Last_Update_Time,network_On,network_Latitude,network_Longitude,network_Speed,network_Accuracy,network_Altitude,network_Bearing,network_Last_Update_Time,accellerometor_Raw_X,accellerometor_Raw_Y,accellerometor_Raw_Z,accellerometor_X_Gs,accellerometor_Y_Gs,accellerometor_Z_Gs,orrientation_Raw_X,orrientation_Raw_Y,orrientation_Raw_Z
40,2011/10/18 13:46:36,1318963596884,1,40.0705090770498,-88.249960206449,3.81555008888245,15.0,202.0,341.0,1318963612000,1,40.0889666,-88.237463,0.0,2967.0,0.0,0.0,1318963560505,0.626536011695862,-0.558434247970581,9.90199279785156,0.0639322460914145,0.0569830865276103,1.0104074283522,198.375,-176.78125,3.609375
41,2011/10/18 13:46:37,1318963597886,1,40.0705495197326,-88.2499694265425,4.25339984893799,15.0,201.900024414063,346.0,1318963613000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,-0.640156328678131,-0.939804017543793,10.2833623886108,0.0653220743549113,0.0958983691371217,1.04932269271539,105.703125,-174.796875,-3.546875
42,2011/10/18 13:46:38,1318963598896,1,40.070603499189,-88.2499640621245,5.06655025482178,15.0,201.299987792969,353.0,1318963614000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.531193554401398,0.204305216670036,10.4468069076538,0.05420342391851,0.0208474710887792,1.06600070486263,317.453125,178.875,2.90625
43,2011/10/18 13:46:39,1318963599899,1,40.0706833787262,-88.2499462924898,8.13150024414063,15.0,201.400024414063,6.0,1318963615000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.599295318126678,0.122583128511906,10.1880197525024,0.0611525834823141,0.0125084825012149,1.03959385229617,322.34375,179.296875,3.359375
44,2011/10/18 13:46:40,1318963600900,1,40.0707731908187,-88.2499185483903,9.13229942321777,15.0,201.400024414063,9.0,1318963616000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.122583128511906,-0.394990086555481,10.7736949920654,0.0125084825012149,0.0403051108730083,1.09935663184341,147.796875,-177.90625,0.640625
45,2011/10/18 13:46:41,1318963601902,1,40.0711140409112,-88.2498605456203,9.50760078430176,15.0,202.200012207031,8.0,1318963617000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.23154591023922,-0.163444176316261,9.35717868804932,0.0236271336978796,0.0166779771751287,0.954814151841767,213.203125,-178.984375,1.421875
46,2011/10/18 13:46:42,1318963602901,1,40.071192830801,-88.2498514931649,10.0705499649048,10.0,203.0,7.0,1318963618000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,-0.381369739770889,0.0817220881581306,12.0131464004517,0.0389152795684581,0.00833898858756435,1.22583126535221,312.796875,179.609375,-1.8125
47,2011/10/18 13:46:43,1318963603943,1,40.0712753925473,-88.2498398423195,10.3832998275757,5.0,203.799987792969,7.0,1318963619000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.558434247970581,0.258786618709564,9.248215675354,0.0569830865276103,0.0264067978275065,0.943695477076939,7.953125,178.40625,3.4375
48,2011/10/18 13:46:44,1318963604943,1,40.0713597564027,-88.2498276885599,10.3832998275757,5.0,204.5,6.0,1318963620000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.381369739770889,0.653776705265045,10.3378438949585,0.0389152795684581,0.0667119087005148,1.05488203009781,66.375,176.390625,2.09375
49,2011/10/18 13:46:45,1318963605944,1,40.0714390911162,-88.2498151995242,10.0080003738403,10.0,204.799987792969,7.0,1318963621000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,-0.531193554401398,0.803600490093231,10.2697420120239,0.05420342391851,0.0820000500095134,1.04793285836979,145.546875,175.515625,-2.9375
50,2011/10/18 13:46:46,1318963606944,1,40.0715132709593,-88.2497999444604,9.50760078430176,10.0,205.0,7.0,1318963622000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,-0.14982382953167,0.967044711112976,9.98371505737305,0.0152881458705785,0.098678031746222,1.01874643442582,125.375,174.484375,-0.875
51,2011/10/18 13:46:47,1318963607944,1,40.0715828407556,-88.2497845217586,8.69444942474365,10.0,205.200012207031,8.0,1318963623000,1,40.0730304,-88.2526079,0.0,3361.0,0.0,0.0,1318963597517,0.994285404682159,2.57424569129944,9.38441944122314,0.101457694355322,0.262678131765249,0.957593820532974,95.375,164.75,5.828125
